27-05-18

Song Title	Key & Capo	Order
Когда мои руки (О Господь Бог Израиля)	Key - Gm	V1 V2 V3 V4 C 
Мой покровитель Бог	Key - Dm	V1 C1 V2 C2 
Благо есть славить Господа Em	Key - Em	V1 C1 V2 V3 C2 
Возношу свои руки к небу	Key - Em	V1 V2 C 
Божий Сын Иисус	Key - D	V1 C V2 
