26-04-18

Название 	Тональность	Размер	Темп
Твоей славы полон дом	(C)		100
Жертвой Иисуса Христа	(A)		100
ИХ мой Спаситель и Бог	(A)	2/4	86
Мира князь чудный Бог	(G)		100
Славлю Тебя дивный Господь	(D)		100
Стоял Ты пред всем творением	(G)		100
Совершенство Твоё	(Dm)		100
Ты живой Господь	(Em)		100
Святый Бог наш	(G)		100
