11.03.17

Song Title	Key & Capo	Order
В сиянии Царя		V1 C V2 B
Святый Бог наш	Key - G	V P C 
Стоял Ты пред всем творением	Key - G	V1 V2 P1 V3 P2 C
И.Х. мой Спаситель и Бог	Key - A	V1 V2 C B V3
Превыше силы	Key - G	I V1 C V2
Я взойду	Key - Em	V1 V2 
