13-05-18

Song Title	Key & Capo	Order
Воду в вино превратил	Key - Em	I V C B 
Истина Твоя	Key - Em	V1 C 
Велики и чудны	Key - Em	V C 
Святый Святый Ты достоин	Key - Am	V1 V2 C 
Ты наш святой Господь	Key - C	V1 V2 C 
Иисус Превозносим	Key - F	V C 
Ты моя слава	Key - Hm	C V1 P V2 
